candidate_id,rank,score,reasoning
CAND_0024620,1,0.8375,"AI Engineer with 5.9 years of experience, currently at PharmEasy. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 41% response rate, is currently based in New York, and has a 45-day notice period."
CAND_0088025,2,0.8245,"Staff Machine Learning Engineer with 8.6 years of experience, currently at Yellow.ai. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 83% response rate, is currently based in Jaipur, Rajasthan, and has a 90-day notice period."
CAND_0005260,3,0.8228,"Senior NLP Engineer with 5.2 years of experience, currently at Netflix. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 86% response rate, is currently based in Chennai, Tamil Nadu, and has a 60-day notice period."
CAND_0077337,4,0.8214,"Staff Machine Learning Engineer with 7.0 years of experience, currently at Paytm. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 95% response rate, is currently based in Kochi, Kerala, and has a 60-day notice period."
CAND_0007009,5,0.8200,"Recommendation Systems Engineer with 7.9 years of experience, currently at Wysa. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 62% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 30-day notice period."
CAND_0046064,6,0.8145,"Senior NLP Engineer with 8.9 years of experience, currently at Salesforce. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 78% response rate, is currently based in Coimbatore, Tamil Nadu, and has a 30-day notice period."
CAND_0061257,7,0.8113,"Staff Machine Learning Engineer with 8.0 years of experience, currently at LinkedIn. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 87% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 30-day notice period."
CAND_0083307,8,0.8095,"Search Engineer with 7.8 years of experience, currently at CRED. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 70% response rate, is currently based in Vizag, Andhra Pradesh, and has a 120-day notice period."
CAND_0064326,9,0.8050,"Search Engineer with 7.6 years of experience, currently at Sarvam AI. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 94% response rate, is located in Gurgaon, Haryana (Tier-1 hub, relocation willing), and has a 45-day notice period."
CAND_0006567,10,0.7948,"Senior AI Engineer with 7.9 years of experience, currently at Meta. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 79% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 60-day notice period."
CAND_0087630,11,0.7912,"AI Engineer with 7.2 years of experience, currently at Vedantu. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 45% response rate, is located in Gurgaon, Haryana (Tier-1 hub, relocation willing), and has a 30-day notice period."
CAND_0075360,12,0.7871,"Software Engineer with 6.2 years of experience, currently at Meesho. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 69% response rate, is based in preferred hub Pune, Maharashtra, and has a 90-day notice period."
CAND_0072660,13,0.7870,"Machine Learning Engineer with 7.1 years of experience, currently at Unacademy. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 53% response rate, is currently based in Berlin, and has a 30-day notice period."
CAND_0079387,14,0.7845,"AI Engineer with 6.9 years of experience, currently at Microsoft. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 81% response rate, is currently based in Trivandrum, Kerala, and has a 30-day notice period."
CAND_0007412,15,0.7831,"Applied ML Engineer with 7.4 years of experience, currently at Zoho. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 76% response rate, is based in preferred hub Noida, Uttar Pradesh, and has a 120-day notice period."
CAND_0099401,16,0.7801,"NLP Engineer with 7.7 years of experience, currently at Dream11. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 42% response rate, is currently based in Ahmedabad, Gujarat, and has a 90-day notice period."
CAND_0094292,17,0.7798,"AI Specialist with 6.5 years of experience, currently at Vedantu. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 53% response rate, is located in Mumbai, Maharashtra (Tier-1 hub, relocation willing), and has a 60-day notice period."
CAND_0029367,18,0.7789,"Senior Data Scientist with 5.7 years of experience, currently at Rephrase.ai. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 77% response rate, is located in Bangalore, Karnataka (Tier-1 hub, relocation willing), and has a 90-day notice period."
CAND_0043641,19,0.7776,"AI Specialist with 6.3 years of experience, currently at Freshworks. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 78% response rate, is currently based in Vizag, Andhra Pradesh, and has a 60-day notice period."
CAND_0055905,20,0.7775,"Senior Machine Learning Engineer with 8.1 years of experience, currently at Flipkart. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 87% response rate, is currently based in London, and has a 30-day notice period."
CAND_0042029,21,0.7772,"Senior Data Scientist with 6.5 years of experience, currently at Flipkart. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 67% response rate, is located in Delhi, Delhi (Tier-1 hub, relocation willing), and has a 45-day notice period."
CAND_0044855,22,0.7750,"Senior Data Scientist with 6.6 years of experience, currently at Flipkart. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 57% response rate, is currently based in Coimbatore, Tamil Nadu, and has a 60-day notice period."
CAND_0098952,23,0.7737,"AI Research Engineer with 5.5 years of experience, currently at CRED. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 66% response rate, is located in Gurgaon, Haryana (Tier-1 hub, relocation willing), and has a 45-day notice period."
CAND_0081846,24,0.7693,"Lead AI Engineer with 6.7 years of experience, currently at Razorpay. Demonstrates strong technical expertise in retrieval/embeddings, vector databases, Python coding, fitting the core systems architecture outlined in the JD. Highly active with a 73% response rate, is currently based in Jaipur, Rajasthan, and has a 30-day notice period."
CAND_0052195,25,0.7684,"Computer Vision Engineer with 6.3 years of experience, currently at Sarvam AI. Demonstrates strong technical expertise in retrieval/embeddings, Python coding, ranking evaluation, fitting the core systems architecture outlined in the JD. Highly active with a 69% response rate, is currently based in Kolkata, West Bengal, and has a 30-day notice period."
